ADM0_NAME,ADM1_NAME,ADM2_CODE,ADM2_NAME,area_ee,losstotal,mask_hansen,lossyear,sum
Brazil,Amazonas,6501,Itamarati,21752.7884504,90.9933991,21462.7586959,22,4.7501441
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,0,46639.5448083
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,1,0.8609519
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,2,3.4439821
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,3,1.7124974
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,4,1.0532968
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,5,1.9665573
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,6,2.3706566
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,7,1.0512581
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,8,1.9787779
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,9,2.6742453
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,10,2.8868705
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,11,1.5057164
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,12,4.0252004
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,13,4.4024503
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,14,2.5512628
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,15,2.164685
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,16,3.2555128
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,17,5.5182603
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,18,7.9899049
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,19,6.1100354
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,20,13.5697031
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,21,6.5497619
Brazil,Amazonas,6503,Japura,47978.5650266,100.4799681,46740.0247764,22,22.8383808
Brazil,Amazonas,6505,Jutai,59848.7199259,198.1784938,58677.2389879,0,58479.0604941
Brazil,Amazonas,6505,Jutai,59848.7199259,198.1784938,58677.2389879,1,4.1740298
Brazil,Amazonas,6505,Jutai,59848.7199259,198.1784938,58677.2389879,2,6.0135653
Brazil,Amazonas,6505,Jutai,59848.7199259,198.1784938,58677.2389879,3,3.7140794
